geometry
"[(341872.3275000006, 3929112.713799998)]"
"[(333427.1191999987, 3933075.7074000016)]"
"[(343891.12089999765, 3933445.1165999994)]"
"[(335355.76129999757, 3935068.4908000007)]"
"[(327548.1551000029, 3936814.262600001)]"
"[(327547.22360000014, 3936839.3123999983)]"
"[(312694.1031000018, 3937114.2005000003)]"
"[(339669.6702999994, 3937298.4272999987)]"
"[(254676.06220000237, 3938102.5209)]"
"[(322213.2511000037, 3940750.8552)]"
"[(314553.92710000277, 3941128.2272000015)]"
"[(315229.16390000284, 3941842.6917999983)]"
"[(305673.7699000016, 3942625.6849999987)]"
"[(343587.0600000024, 3942661.789500002)]"
"[(339135.01309999824, 3942902.3988999985)]"
"[(325459.8520999998, 3944032.9679000005)]"
"[(243574.27350000292, 3944657.0975)]"
"[(354536.15829999745, 3945156.229200002)]"
"[(324140.7468999997, 3945260.2566)]"
"[(226541.1970999986, 3946019.5055)]"
"[(230828.6449000016, 3946049.1647999994)]"
"[(238971.9299999997, 3946711.352400001)]"
"[(248355.72140000015, 3946971.2161)]"
"[(334777.0323999971, 3947883.298300002)]"
"[(359151.3448000029, 3948026.575100001)]"
"[(278191.6036000028, 3948540.0243999995)]"
"[(240276.22850000113, 3948883.6744000018)]"
"[(229252.15569999814, 3949541.183699999)]"
"[(340696.190200001, 3950062.7529999986)]"
"[(284318.8840999976, 3950240.6286000013)]"
"[(275204.1403999999, 3951041.0375000015)]"
"[(279743.944600001, 3951184.2716000006)]"
"[(318888.84589999914, 3952102.2630999982)]"
"[(351704.40160000324, 3953157.2852)]"
"[(351848.7700000033, 3953184.874400001)]"
"[(245679.15900000185, 3953938.8330999985)]"
"[(335361.8676000014, 3954012.8786000013)]"
"[(266294.4732000008, 3954310.150199998)]"
"[(249656.1719999984, 3954639.579)]"
"[(266302.9503000006, 3954765.0480999984)]"
"[(258732.00410000235, 3954902.012600001)]"
"[(322054.17650000006, 3955031.1426)]"
"[(238293.24549999833, 3955047.0095999986)]"
"[(252822.09200000018, 3955100.7311000004)]"
"[(272445.0603, 3955316.3249999993)]"
"[(226927.95920000225, 3955476.6558)]"
"[(285957.8073000014, 3955745.5317)]"
"[(254152.1350999996, 3956221.6673999988)]"
"[(277307.95049999654, 3956376.940299999)]"
"[(275033.71609999985, 3956487.2327000014)]"
"[(349613.6666999981, 3956803.897599999)]"
"[(293631.6327000037, 3957187.035599999)]"
"[(283714.43559999764, 3957700.842)]"
"[(218949.37799999863, 3958249.149099998)]"
"[(235017.74700000137, 3958596.6259000003)]"
"[(240825.7893999964, 3958677.5775999986)]"
"[(357700.97079999745, 3959070.7194)]"
"[(338829.78079999983, 3959078.5352)]"
"[(290387.19359999895, 3959161.7974999994)]"
"[(336361.5425999984, 3959242.162799999)]"
"[(293592.17069999874, 3959998.841400001)]"
"[(265656.4870999977, 3960221.8093999997)]"
"[(201391.8878000006, 3960304.6686000004)]"
"[(237680.35429999977, 3960848.5117000006)]"
"[(309110.83399999887, 3961316.2531000003)]"
"[(301197.8360000029, 3961706.5023000017)]"
